Year,Serie,Age,Sex,Value
2010,Tasa de mortalidad materna,Todas las edades o no desagregado por edad,Mujer,17.9
2011,Tasa de mortalidad materna,Todas las edades o no desagregado por edad,Mujer,0.0
2012,Tasa de mortalidad materna,Todas las edades o no desagregado por edad,Mujer,0.0
2013,Tasa de mortalidad materna,Todas las edades o no desagregado por edad,Mujer,0.0
2014,Tasa de mortalidad materna,Todas las edades o no desagregado por edad,Mujer,0.0
2015,Tasa de mortalidad materna,Todas las edades o no desagregado por edad,Mujer,0.0
2016,Tasa de mortalidad materna,Todas las edades o no desagregado por edad,Mujer,0.0
2017,Tasa de mortalidad materna,Todas las edades o no desagregado por edad,Mujer,24.3
2018,Tasa de mortalidad materna,Todas las edades o no desagregado por edad,Mujer,0.0
