Indicator
#1-2-1
#1-2-2
#1-5-1
#10-1-1
#10-2-1
#11-5-1
#13-1-1
#16-1-4
#2-4-1
#3-1-1
#3-2-1
#3-2-2
#3-4-1
#3-4-2
#3-6-1
#3-7-2
#3-9-3
#4-3-1
#4-5-1
#5-5-2
#5-a-1a
#5-a-1b
#8-5-2
#8-6-1
#9-2-2
