Indicator,Disaggregation combinations using this value
#1-2-1,4
#1-2-2,4
#1-5-1,1
#10-1-1,4
#10-2-1,2
#10-4-1,1
#11-1-1,1
#11-5-1,1
#11-6-1,4
#12-5-1,1
#13-1-1,1
#13-2-2,2
#16-1-4,1
#17-1-1,1
#2-4-1,1
#3-1-1,1
#3-1-2,1
#3-4-1,4
#3-4-2,1
#3-6-1,1
#3-9-3,1
#3-c-1,4
#5-4-1,3
#5-5-2,2
#5-a-1a,3
#5-a-1b,3
#8-1-1,1
#8-2-1,2
#8-5-1,3
#8-5-2,2
#9-2-1,2
#9-2-2,2
#9-4-1,2
#9-5-1,1
#9-5-2,1
