Year,Serie,Value
2010,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.00
2011,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.00
2012,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.00
2013,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.00
2014,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.00
2015,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.00
2016,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.34
2017,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.00
2018,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.00
