Year,Serie,Age,Sex,Value
2010,Tasa de mortalidad neonatal,menor de 1 mes,Ambos sexos o no desagregado por sexo,2.0
2011,Tasa de mortalidad neonatal,menor de 1 mes,Ambos sexos o no desagregado por sexo,0.7
2012,Tasa de mortalidad neonatal,menor de 1 mes,Ambos sexos o no desagregado por sexo,1.4
2013,Tasa de mortalidad neonatal,menor de 1 mes,Ambos sexos o no desagregado por sexo,2.1
2014,Tasa de mortalidad neonatal,menor de 1 mes,Ambos sexos o no desagregado por sexo,2.2
2015,Tasa de mortalidad neonatal,menor de 1 mes,Ambos sexos o no desagregado por sexo,2.5
2016,Tasa de mortalidad neonatal,menor de 1 mes,Ambos sexos o no desagregado por sexo,1.4
2017,Tasa de mortalidad neonatal,menor de 1 mes,Ambos sexos o no desagregado por sexo,1.5
2018,Tasa de mortalidad neonatal,menor de 1 mes,Ambos sexos o no desagregado por sexo,1.6
