Year,Serie,RefArea,Value
2010,,España,0.15
2011,,España,0.11
2012,,España,0.12
2013,,España,0.10
2014,,España,0.06
2015,,España,0.17
2016,,España,0.12
2017,,España,0.12
2018,,España,0.22
2019,,España,0.16
2010,,Cantabria,0.00
2011,,Cantabria,0.00
2012,,Cantabria,0.00
2013,,Cantabria,0.00
2014,,Cantabria,0.00
2015,,Cantabria,0.00
2016,,Cantabria,0.34
2017,,Cantabria,0.00
2018,,Cantabria,0.00
2019,,Cantabria,0.17
2020,,Cantabria,0.00
