Year,Serie,Age,Sex,Value
2010,Tasa de mortalidad de menores de 5 años,menor de 5 años,Ambos sexos o no desagregado por sexo,4.5
2011,Tasa de mortalidad de menores de 5 años,menor de 5 años,Ambos sexos o no desagregado por sexo,2.8
2012,Tasa de mortalidad de menores de 5 años,menor de 5 años,Ambos sexos o no desagregado por sexo,3.6
2013,Tasa de mortalidad de menores de 5 años,menor de 5 años,Ambos sexos o no desagregado por sexo,4.1
2014,Tasa de mortalidad de menores de 5 años,menor de 5 años,Ambos sexos o no desagregado por sexo,2.6
2015,Tasa de mortalidad de menores de 5 años,menor de 5 años,Ambos sexos o no desagregado por sexo,3.9
2016,Tasa de mortalidad de menores de 5 años,menor de 5 años,Ambos sexos o no desagregado por sexo,1.9
2017,Tasa de mortalidad de menores de 5 años,menor de 5 años,Ambos sexos o no desagregado por sexo,2.7
2018,Tasa de mortalidad de menores de 5 años,menor de 5 años,Ambos sexos o no desagregado por sexo,2.9
